eQTL_thres	Num_all	Num_add_cis	Num_add_trans	Num_dom_cis	Num_dom_trans	Fisher_pvalue
3.5	3938	1389	737	46	1766	0
3.51	3938	1389	737	46	1766	0
3.52	3938	1389	737	46	1766	0
3.53	3938	1389	737	46	1766	0
3.54	3938	1389	737	46	1766	0
3.55	3938	1389	737	46	1766	0
3.56	3938	1389	737	46	1766	0
3.57	3938	1389	737	46	1766	0
3.58	3938	1389	737	46	1766	0
3.59	3938	1389	737	46	1766	0
3.6	3938	1389	737	46	1766	0
3.61	3938	1389	737	46	1766	0
3.62	3938	1389	737	46	1766	0
3.63	3938	1389	737	46	1766	0
3.64	3938	1389	737	46	1766	0
3.65	3938	1389	737	46	1766	0
3.66	3938	1389	737	46	1766	0
3.67	3938	1389	737	46	1766	0
3.68	3938	1389	737	46	1766	0
3.69	3938	1389	737	46	1766	0
3.7	3938	1389	737	46	1766	0
3.71	3938	1389	737	46	1766	0
3.72	3938	1389	737	46	1766	0
3.73	3938	1389	737	46	1766	0
3.74	3938	1389	737	46	1766	0
3.75	3938	1389	737	46	1766	0
3.76	3938	1389	737	46	1766	0
3.77	3938	1389	737	46	1766	0
3.78	3938	1389	737	46	1766	0
3.79	3938	1389	737	46	1766	0
3.8	3938	1389	737	46	1766	0
3.81	3938	1389	737	46	1766	0
3.82	3938	1389	737	46	1766	0
3.83	3938	1389	737	46	1766	0
3.84	3938	1389	737	46	1766	0
3.85	3938	1389	737	46	1766	0
3.86	3938	1389	737	46	1766	0
3.87	3938	1389	737	46	1766	0
3.88	3938	1389	737	46	1766	0
3.89	3938	1389	737	46	1766	0
3.9	3938	1389	737	46	1766	0
3.91	3938	1389	737	46	1766	0
3.92	3938	1389	737	46	1766	0
3.93	3938	1389	737	46	1766	0
3.94	3938	1389	737	46	1766	0
3.95	3938	1389	737	46	1766	0
3.96	3938	1389	737	46	1766	0
3.97	3938	1389	737	46	1766	0
3.98	3938	1389	737	46	1766	0
3.99	3938	1389	737	46	1766	0
4	3938	1389	737	46	1766	0
4.01	3938	1389	737	46	1766	0
4.02	3938	1389	737	46	1766	0
4.03	3938	1389	737	46	1766	0
4.04	3938	1389	737	46	1766	0
4.05	3938	1389	737	46	1766	0
4.06	3938	1389	737	46	1766	0
4.07	3938	1389	737	46	1766	0
4.08	3938	1389	737	46	1766	0
4.09	3938	1389	737	46	1766	0
4.1	3938	1389	737	46	1766	0
4.11	3938	1389	737	46	1766	0
4.12	3938	1389	737	46	1766	0
4.13	3938	1389	737	46	1766	0
4.14	3938	1389	737	46	1766	0
4.15	3938	1389	737	46	1766	0
4.16	3938	1389	737	46	1766	0
4.17	3938	1389	737	46	1766	0
4.18	3938	1389	737	46	1766	0
4.19	3938	1389	737	46	1766	0
4.2	3938	1389	737	46	1766	0
4.21	3938	1389	737	46	1766	0
4.22	3938	1389	737	46	1766	0
4.23	3938	1389	737	46	1766	0
4.24	3938	1389	737	46	1766	0
4.25	3938	1389	737	46	1766	0
4.26	3938	1389	737	46	1766	0
4.27	3938	1389	737	46	1766	0
4.28	3938	1389	737	46	1766	0
4.29	3938	1389	737	46	1766	0
4.3	3938	1389	737	46	1766	0
4.31	3938	1389	737	46	1766	0
4.32	3938	1389	737	46	1766	0
4.33	3938	1389	737	46	1766	0
4.34	3938	1389	737	46	1766	0
4.35	3938	1389	737	46	1766	0
4.36	3938	1389	737	46	1766	0
4.37	3938	1389	737	46	1766	0
4.38	3938	1389	737	46	1766	0
4.39	3938	1389	737	46	1766	0
4.4	3938	1389	737	46	1766	0
4.41	3938	1389	737	46	1766	0
4.42	3938	1389	737	46	1766	0
4.43	3938	1389	737	46	1766	0
4.44	3938	1389	737	46	1766	0
4.45	3938	1389	737	46	1766	0
4.46	3938	1389	737	46	1766	0
4.47	3938	1389	737	46	1766	0
4.48	3938	1389	737	46	1766	0
4.49	3938	1389	737	46	1766	0
4.5	3938	1389	737	46	1766	0
4.51	3938	1389	737	46	1766	0
4.52	3938	1389	737	46	1766	0
4.53	3938	1389	737	46	1766	0
4.54	3938	1389	737	46	1766	0
4.55	3938	1389	737	46	1766	0
4.56	3938	1389	737	46	1766	0
4.57	3938	1389	737	46	1766	0
4.58	3938	1389	737	46	1766	0
4.59	3938	1389	737	46	1766	0
4.6	3938	1389	737	46	1766	0
4.61	3938	1389	737	46	1766	0
4.62	3938	1389	737	46	1766	0
4.63	3938	1389	737	46	1766	0
4.64	3938	1389	737	46	1766	0
4.65	3938	1389	737	46	1766	0
4.66	3938	1389	737	46	1766	0
4.67	3938	1389	737	46	1766	0
4.68	3938	1389	737	46	1766	0
4.69	3938	1389	737	46	1766	0
4.7	3938	1389	737	46	1766	0
4.71	3938	1389	737	46	1766	0
4.72	3938	1389	737	46	1766	0
4.73	3938	1389	737	46	1766	0
4.74	3938	1389	737	46	1766	0
4.75	3938	1389	737	46	1766	0
4.76	3938	1389	737	46	1766	0
4.77	3938	1389	737	46	1766	0
4.78	3938	1389	737	46	1766	0
4.79	3938	1389	737	46	1766	0
4.8	3938	1389	737	46	1766	0
4.81	3938	1389	737	46	1766	0
4.82	3938	1389	737	46	1766	0
4.83	3938	1389	737	46	1766	0
4.84	3938	1389	737	46	1766	0
4.85	3938	1389	737	46	1766	0
4.86	3938	1389	737	46	1766	0
4.87	3938	1389	737	46	1766	0
4.88	3938	1389	737	46	1766	0
4.89	3938	1389	737	46	1766	0
4.9	3938	1389	737	46	1766	0
4.91	3938	1389	737	46	1766	0
4.92	3938	1389	737	46	1766	0
4.93	3938	1389	737	46	1766	0
4.94	3938	1389	737	46	1766	0
4.95	3938	1389	737	46	1766	0
4.96	3938	1389	737	46	1766	0
4.97	3938	1389	737	46	1766	0
4.98	3938	1389	737	46	1766	0
4.99	3938	1389	737	46	1766	0
5	3938	1389	737	46	1766	0
5.01	3938	1389	737	46	1766	0
5.02	3938	1389	737	46	1766	0
5.03	3938	1389	737	46	1766	0
5.04	3938	1389	737	46	1766	0
5.05	3938	1389	737	46	1766	0
5.06	3938	1389	737	46	1766	0
5.07	3938	1389	737	46	1766	0
5.08	3938	1389	737	46	1766	0
5.09	3938	1389	737	46	1766	0
5.1	3938	1389	737	46	1766	0
5.11	3938	1389	737	46	1766	0
5.12	3938	1389	737	46	1766	0
5.13	3938	1389	737	46	1766	0
5.14	3938	1389	737	46	1766	0
5.15	3938	1389	737	46	1766	0
5.16	3938	1389	737	46	1766	0
5.17	3938	1389	737	46	1766	0
5.18	3938	1389	737	46	1766	0
5.19	3938	1389	737	46	1766	0
5.2	3938	1389	737	46	1766	0
5.21	3938	1389	737	46	1766	0
5.22	3938	1389	737	46	1766	0
5.23	3938	1389	737	46	1766	0
5.24	3938	1389	737	46	1766	0
5.25	3938	1389	737	46	1766	0
5.26	3938	1389	737	46	1766	0
5.27	3938	1389	737	46	1766	0
5.28	3920	1386	733	46	1755	0
5.29	3883	1383	724	46	1730	0
5.3	3849	1381	715	44	1709	0
5.31	3816	1379	706	44	1687	0
5.32	3778	1377	697	43	1661	0
5.33	3743	1375	690	43	1635	0
5.34	3698	1367	681	43	1607	0
5.35	3658	1366	673	43	1576	0
5.36	3627	1364	666	43	1554	0
5.37	3597	1362	658	43	1534	0
5.38	3562	1359	652	43	1508	0
5.39	3524	1357	642	43	1482	0
5.4	3493	1356	635	43	1459	0
5.41	3460	1354	627	42	1437	0
5.42	3429	1349	619	42	1419	0
5.43	3403	1347	618	42	1396	0
5.44	3403	1347	618	42	1396	0
5.45	3353	1341	606	42	1364	0
5.46	3324	1336	600	42	1346	0
5.47	3301	1333	595	42	1331	0
5.48	3274	1331	587	42	1314	0
5.49	3245	1329	581	42	1293	0
5.5	3217	1328	569	42	1278	0
5.51	3185	1323	561	42	1259	0
5.52	3160	1321	553	42	1244	0
5.53	3134	1319	544	42	1229	0
5.54	3100	1317	536	42	1205	0
5.55	3060	1313	528	42	1177	0
5.56	3034	1309	523	42	1160	0
5.57	3007	1307	517	41	1142	0
5.58	2981	1306	511	41	1123	0
5.59	2954	1303	507	40	1104	0
5.6	2931	1300	501	40	1090	0
5.61	2931	1300	501	40	1090	0
5.62	2886	1293	495	40	1058	0
5.63	2864	1292	491	40	1041	0
5.64	2836	1289	484	40	1023	0
5.65	2808	1288	476	40	1004	0
5.66	2780	1284	471	40	985	1.9416779881561e-320
5.67	2764	1281	468	40	975	5.17816369568127e-318
5.68	2749	1281	465	40	963	7.82004312766626e-316
5.69	2749	1281	465	40	963	7.82004312766626e-316
5.7	2705	1275	452	40	938	7.04351504240644e-312
5.71	2683	1274	446	40	923	4.09686918104122e-309
5.72	2660	1270	440	40	910	7.54032198865185e-307
5.73	2640	1268	432	40	900	4.89417200700293e-306
5.74	2624	1265	429	39	891	7.01166928511746e-305
5.75	2604	1261	424	39	880	1.83626535759981e-302
5.76	2589	1261	418	39	871	8.4369859136838e-302
5.77	2567	1257	413	39	858	4.67655197401384e-299
5.78	2550	1256	405	39	850	4.97135225869972e-299
5.79	2533	1253	402	39	839	3.69660861738382e-296
5.8	2517	1249	398	39	831	2.09015893835228e-294
5.81	2499	1248	393	39	819	2.67570515168512e-292
5.82	2470	1245	384	38	803	7.82418609112102e-291
5.83	2454	1244	382	38	790	1.97136857512411e-287
5.84	2437	1240	377	38	782	6.50724343333678e-286
5.85	2422	1238	373	38	773	4.28752941070236e-284
5.86	2422	1238	373	38	773	4.28752941070236e-284
5.87	2389	1232	369	37	751	1.12860003409461e-278
5.88	2371	1230	365	37	739	7.13531856953838e-276
5.89	2346	1224	361	37	724	3.04933927795173e-271
5.9	2329	1221	360	37	711	3.13202298093764e-267
5.91	2313	1218	356	37	702	3.85051058323756e-265
5.92	2293	1214	351	37	691	1.49202571205012e-262
5.93	2280	1212	350	37	681	2.39497925545093e-259
